Timestamp,Tank,Fill level,Temperature,Pressure,Volume
"5/28/2026, 4:25:00 PM","TK101","99","290","1.3","12000"
"5/28/2026, 4:25:30 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:01:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:02:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:02:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:03:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:03:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:04:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:04:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:05:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:05:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:06:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:06:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:07:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:07:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:08:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:08:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:09:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:09:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:10:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:10:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:11:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:11:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:12:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:12:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:13:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:13:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:14:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:14:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:15:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:15:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:16:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:16:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:17:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:17:31 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:18:01 PM","TK101","99","290","1.3","12000"
"5/28/2026, 5:18:31 PM","TK101","99","290","1.3","12000"
